institution,country,Lon,lat,score,,
?cole Polytechnique,France,2.209,48.713,59.2,,
?cole normale sup̩rieure - Paris,France,2.326632,48.788748,58.8,,
University of Paris-Sud,France,2.173309,48.69989,54.21,,
Pierre-and-Marie-Curie University,France,2.353831918,48.8416633,53.79,,
