institution,country,Lon,lat,score,,
University of Tokyo,Japan,139.757330304,35.707997168,78.23,,
Kyoto University,Japan,135.780842,35.026212,68.6,,
Keio University,Japan,139.738997044,35.642830762,59.84,,
Waseda University,Japan,139.718263794,35.7055188446,58.17,,
Osaka University,Japan,135.522664576,34.818163394,56.03,,
Tohoku University,Japan,140.0,38.2333,52.57,,
Kyushu University,Japan,130.425049,33.626659,50.6,,
