country,2012,2013,2014,2015,Ave
USA,8.11,,8.11,8.05,8.09
United Kingdom,8.21,,8.31,8.31,8.28
Switzerland,9.09,,9.09,9.09,9.09
Israel,7.53,,7.63,7.77,7.64
Japan,8.08,,8.08,7.96,8.04
Canada,9.08,,9.08,9.08,9.08
France,7.88,,8.04,7.92,7.95
Sweden,9.73,,9.73,9.45,9.64
South Korea,8.13,,8.06,7.97,8.05
Germany,8.34,,8.64,8.64,8.54
Netherlands,8.92,,8.92,8.92,8.92
Denmark,9.11,,9.11,9.11,9.11
Australia,9.01,,9.01,9.01,9.01
,,,,,
