country,2012,2013,2014,2015,Ave
USA,4.7,4.5,4.4,4.9,4.6
United Kingdom,1,0.9,0.9,,0.9
Switzerland,,8.2,,,8.2
Israel,1.7,,1.5,1.4,1.5
Japan,0.3,0.3,0.3,0.3,0.3
Canada,1.6,1.4,1.5,1.7,1.6
France,1.2,1.2,1.2,1.6,1.3
Sweden,0.7,0.9,0.9,1.1,0.9
South Korea,0.8,0.7,0.7,,0.7
Germany,0.8,0.8,0.9,0.8,0.8
Netherlands,0.9,0.7,0.7,0.6,0.7
Denmark,0.8,0.9,1.3,1,1
Australia,1.1,1.1,1,1,1
,,,,,
