country,2012,2013,2014,2015,Ave
USA,,,86.75%,,86.75%
United Kingdom,,,89.90%,,89.90%
Switzerland,,,88.02%,,88.02%
Israel,,,75.80%,,75.80%
Japan,,,86.03%,,86.03%
Canada,,,92.89%,,92.89%
France,,,85.75%,,85.75%
Sweden,,,89.10%,,89.10%
South Korea,,,91.52%,,91.52%
Germany,,,86.78%,,86.78%
Netherlands,,,96.08%,,96.08%
Denmark,,,96.08%,,96.08%
Australia,,,89.62%,,89.62%
,,,,,
